frame,czas_s,kury,nie_kury,drzwi
416,13.870,0,1,0
417,13.904,0,1,0
418,13.937,0,1,0
419,13.971,0,1,0
420,14.004,0,1,0
421,14.037,0,1,0
422,14.071,0,1,0
423,14.104,0,1,0
424,14.138,0,1,0
425,14.171,0,1,0
426,14.205,0,1,0
427,14.238,0,1,0
428,14.271,0,1,0
429,14.305,0,1,0
430,14.338,0,1,0
431,14.372,0,1,0
432,14.405,0,1,0
433,14.438,0,1,0
434,14.472,0,1,0
435,14.505,0,1,0
436,14.539,0,1,0
437,14.572,0,1,0
438,14.606,0,1,0
439,14.639,0,1,0
440,14.672,0,1,0
441,14.706,0,1,0
442,14.739,0,1,0
443,14.773,0,1,0
444,14.806,0,1,0
445,14.840,0,1,0
446,14.873,0,1,0
447,14.906,0,1,0
448,14.940,0,1,0
449,14.973,0,1,0
450,15.007,0,1,0
451,15.040,0,1,0
452,15.074,0,1,0
453,15.107,0,1,0
454,15.140,0,1,0
455,15.174,0,1,0
456,15.207,0,1,0
457,15.241,0,1,0
458,15.274,0,1,0
459,15.307,0,1,0
460,15.341,0,1,0
461,15.374,0,1,0
462,15.408,0,1,0
463,15.441,0,1,0
464,15.475,0,1,0
465,15.508,0,1,0
466,15.541,0,1,0
467,15.575,0,1,0
468,15.608,0,1,0
469,15.642,0,1,0
470,15.675,0,1,0
471,15.709,0,1,0
472,15.742,0,1,0
473,15.775,0,1,0
474,15.809,0,1,0
475,15.842,0,2,0
476,15.876,0,1,0
477,15.909,0,1,0
478,15.942,0,1,0
479,15.976,0,1,0
480,16.009,0,2,0
481,16.043,0,0,0
482,16.076,0,1,0
483,16.110,0,1,0
484,16.143,0,1,0
485,16.176,0,0,0
486,16.210,0,0,0
487,16.243,0,0,0
488,16.277,0,0,0
489,16.310,0,0,0
490,16.344,0,0,0
491,16.377,0,0,0
492,16.410,0,0,0
493,16.444,0,0,0
494,16.477,0,0,0
495,16.511,0,0,0
496,16.544,0,1,0
497,16.578,0,1,0
498,16.611,0,1,0
499,16.644,0,0,0
500,16.678,0,0,0
501,16.711,0,1,0
502,16.745,0,0,0
503,16.778,0,0,0
504,16.811,0,1,0
505,16.845,0,1,0
506,16.878,0,1,0
507,16.912,0,0,0
508,16.945,0,0,0
509,16.979,0,0,0
510,17.012,0,0,0
511,17.045,0,0,0
512,17.079,0,0,0
513,17.112,0,0,0
514,17.146,0,0,0
515,17.179,0,0,0
516,17.213,0,0,0
517,17.246,0,0,0
518,17.279,0,0,0
519,17.313,0,0,0
520,17.346,0,0,0
521,17.380,0,0,0
522,17.413,0,0,0
523,17.447,0,0,0
524,17.480,0,0,0
525,17.513,0,0,0
526,17.547,0,0,0
527,17.580,0,0,0
528,17.614,0,0,0
529,17.647,0,0,0
530,17.680,0,0,0
531,17.714,0,0,0
532,17.747,0,0,0
533,17.781,0,0,0
534,17.814,0,0,0
535,17.848,0,0,0
536,17.881,0,0,0
537,17.914,0,0,0
538,17.948,0,0,0
539,17.981,0,0,0
540,18.015,0,0,0
541,18.048,0,0,0
542,18.082,0,0,0
543,18.115,0,0,0
544,18.148,0,0,0
545,18.182,0,0,0
546,18.215,0,0,0
547,18.249,0,0,0
548,18.282,0,0,0
549,18.315,0,0,0
550,18.349,0,0,0
551,18.382,0,0,0
552,18.416,0,1,0
553,18.449,0,1,0
554,18.483,0,0,0
555,18.516,0,0,0
556,18.549,0,0,0
557,18.583,0,0,0
558,18.616,0,0,0
559,18.650,0,2,0
560,18.683,0,2,0
561,18.717,0,1,0
562,18.750,0,3,0
563,18.783,0,2,0
564,18.817,0,1,0
565,18.850,0,1,0
566,18.884,0,2,0
567,18.917,0,1,0
568,18.951,0,1,0
569,18.984,0,1,0
570,19.017,0,0,0
571,19.051,0,0,0
572,19.084,0,0,0
573,19.118,0,1,0
574,19.151,0,1,0
575,19.184,0,1,0
576,19.218,0,3,0
577,19.251,0,3,0
578,19.285,0,2,0
579,19.318,0,2,0
580,19.352,0,2,0
581,19.385,0,2,0
582,19.418,0,0,0
583,19.452,0,0,0
584,19.485,0,0,0
585,19.519,0,0,0
586,19.552,0,0,0
587,19.586,0,0,0
588,19.619,0,0,0
589,19.652,0,0,0
590,19.686,0,0,0
591,19.719,0,0,0
592,19.753,0,0,0
593,19.786,0,0,0
594,19.819,0,0,0
595,19.853,0,0,0
596,19.886,0,0,0
597,19.920,0,1,0
598,19.953,0,0,0
599,19.987,0,0,0
600,20.020,0,1,0
601,20.053,0,1,0
602,20.087,0,1,0
603,20.120,0,1,0
604,20.154,0,0,0
605,20.187,0,0,0
606,20.221,0,0,0
607,20.254,0,0,0
608,20.287,0,0,0
609,20.321,0,1,0
610,20.354,0,1,0
611,20.388,0,1,0
612,20.421,0,0,0
613,20.455,0,0,0
614,20.488,0,0,0
615,20.521,0,0,0
616,20.555,0,0,0
617,20.588,0,0,0
618,20.622,0,0,0
619,20.655,0,2,0
620,20.688,0,2,0
621,20.722,0,1,0
622,20.755,0,1,0
623,20.789,0,1,0
624,20.822,0,1,0
625,20.856,0,2,0
626,20.889,0,1,0
627,20.922,0,2,0
628,20.956,0,2,0
629,20.989,0,1,0
630,21.023,0,1,0
631,21.056,0,1,0
632,21.090,0,1,0
633,21.123,0,2,0
