epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,4007.1,0.50134,0.46383,1.04935,0.87714,0.79963,0.87088,0.72778,0.6146,0.55446,1.14147,0.000561279,0.000561279,0.000561279
69,4064.06,0.50761,0.46347,1.05762,0.89304,0.79528,0.86389,0.72948,0.60066,0.55621,1.12343,0.000544776,0.000544776,0.000544776
70,4120.75,0.50496,0.46573,1.05342,0.88889,0.78509,0.8608,0.72416,0.61209,0.57553,1.14011,0.000528272,0.000528272,0.000528272
71,4178.23,0.48941,0.455,1.04057,0.87712,0.80082,0.85818,0.72522,0.6061,0.57267,1.13942,0.000511769,0.000511769,0.000511769
72,4235.87,0.48536,0.4514,1.03887,0.91294,0.76898,0.86114,0.72969,0.59937,0.57876,1.13536,0.000495266,0.000495266,0.000495266
73,4293.43,0.4817,0.44961,1.0391,0.89173,0.78787,0.85785,0.72884,0.59263,0.57082,1.12383,0.000478762,0.000478762,0.000478762
74,4350.79,0.47699,0.43558,1.03065,0.87204,0.80367,0.86424,0.72866,0.59082,0.56353,1.12635,0.000462259,0.000462259,0.000462259
75,4408.33,0.47189,0.42908,1.03318,0.87577,0.80462,0.86547,0.73109,0.60013,0.56594,1.13185,0.000445756,0.000445756,0.000445756
76,4465.85,0.47518,0.4379,1.03345,0.90313,0.78597,0.85781,0.72471,0.6053,0.56994,1.15337,0.000429253,0.000429253,0.000429253
77,4523.29,0.46142,0.42061,1.0272,0.90056,0.78857,0.86161,0.7315,0.60275,0.55497,1.14296,0.000412749,0.000412749,0.000412749
78,4580.84,0.46516,0.41729,1.02741,0.89793,0.79999,0.86154,0.73488,0.58947,0.55602,1.13113,0.000396246,0.000396246,0.000396246
79,4638.41,0.45676,0.41146,1.02527,0.88269,0.81008,0.86217,0.73253,0.60209,0.56631,1.13664,0.000379743,0.000379743,0.000379743
80,4695.76,0.46233,0.42119,1.02538,0.90523,0.79011,0.85854,0.7242,0.60861,0.55144,1.15881,0.000363239,0.000363239,0.000363239
81,4753.15,0.45452,0.40819,1.01985,0.90521,0.79082,0.85381,0.7227,0.60401,0.56249,1.14612,0.000346736,0.000346736,0.000346736
82,4810.59,0.45043,0.41062,1.01873,0.88933,0.79242,0.85369,0.71967,0.60566,0.57246,1.16448,0.000330233,0.000330233,0.000330233
83,4868.08,0.44315,0.39885,1.01405,0.89814,0.78849,0.85677,0.72135,0.5964,0.57153,1.14021,0.000313729,0.000313729,0.000313729
84,4925.59,0.44285,0.39448,1.01182,0.91101,0.77774,0.85384,0.72318,0.59117,0.56793,1.14099,0.000297226,0.000297226,0.000297226
85,4982.9,0.44294,0.39864,1.01696,0.90557,0.79286,0.85993,0.72989,0.59101,0.55367,1.13632,0.000280723,0.000280723,0.000280723
86,5040.36,0.444,0.39927,1.01298,0.89668,0.79639,0.85648,0.72791,0.60244,0.56234,1.15922,0.00026422,0.00026422,0.00026422
87,5097.85,0.43402,0.38883,1.00871,0.91277,0.78409,0.85464,0.72395,0.60464,0.57109,1.16191,0.000247716,0.000247716,0.000247716
88,5155.34,0.43481,0.38588,1.00806,0.91981,0.78136,0.84554,0.71952,0.59728,0.58559,1.15832,0.000231213,0.000231213,0.000231213
89,5212.82,0.43159,0.3873,1.00637,0.8836,0.79743,0.84467,0.71826,0.58852,0.58045,1.14998,0.00021471,0.00021471,0.00021471
90,5270.33,0.42687,0.38421,1.00292,0.9059,0.78989,0.84972,0.72203,0.59038,0.57868,1.15332,0.000198206,0.000198206,0.000198206
91,5348.13,0.27165,0.21752,0.86208,0.90654,0.78525,0.85208,0.72372,0.58136,0.58108,1.14648,0.000181703,0.000181703,0.000181703
92,5405.97,0.2651,0.21139,0.85867,0.89771,0.79086,0.84812,0.72333,0.58214,0.58262,1.1526,0.0001652,0.0001652,0.0001652
93,5463.8,0.26633,0.20798,0.85911,0.89882,0.79377,0.85014,0.72292,0.57789,0.59133,1.14815,0.000148696,0.000148696,0.000148696
94,5521.43,0.25978,0.20353,0.85505,0.87652,0.81127,0.84742,0.72278,0.57259,0.59356,1.14553,0.000132193,0.000132193,0.000132193
95,5579.18,0.25578,0.20511,0.85384,0.89674,0.7938,0.85029,0.72434,0.57073,0.57923,1.14256,0.00011569,0.00011569,0.00011569
96,5636.67,0.2496,0.19721,0.84969,0.90526,0.78964,0.84285,0.72139,0.57044,0.58962,1.15228,9.91865e-05,9.91865e-05,9.91865e-05
97,5694.43,0.24887,0.19462,0.84963,0.90979,0.78466,0.84292,0.72171,0.57366,0.59646,1.15428,8.26832e-05,8.26832e-05,8.26832e-05
98,5752.18,0.24576,0.18997,0.84971,0.91187,0.78316,0.84196,0.7186,0.57398,0.60283,1.15316,6.61799e-05,6.61799e-05,6.61799e-05
